initiative_id,report_id,company_name_english,ESG_block,theme_tag,initiative_title,initiative_description,collaboration_present,collaboration_type,actors_involved,collaboration_model,driver_primary,outputs_or_outcomes,KPI_present,KPI_list,geography,evidence_file_name,evidence_page_numbers,confidence,cluster_id,cluster_keywords,similar_initiative_ids,similar_initiative_titles
CN044-I001,CN044,Jinko Solar,E,emissions_reduction,"2024 Environmental, Social and Governance (ESG) Report Governance and Economic P...","2024 Environmental, Social and Governance (ESG) Report Governance and Economic Performance Environmental Performance Social Performance Key ESG Performance Investment in energy conservation and environmental protection GHG emissions intensity Electricity saved from energy efficiency technological transformation projects Water saved from water saving technical renovation projects RMB million 256.9087 MWh 112,782.37 million tons 7.9878 tCO2e/MW 19.93 General industrial solid waste recycled or reused Power generated from rooftop PV systems of the bases tons 164,431.97 ""Zero-Carbon Factories"" 9 Investment in environmental publicity and education RMB930,300 MWh 213,310 Participants in environmental protection training person-times 142,967 Total employees 33,809 Coverage rate of employee training Average training hours per employee 100% Customer satisfaction score Percentage of local people in senior executives Percentage of female employees in management positions hours 119.16 Parental leave days taken 98.7points days 9,733 Investment in safety production and occupational health RMB million 116.7462 External donation RMB million 15.87 Wind ESG Rating: AA Listed in ""Forbes 2024 China ESG 50"" Ranked on the 2024 Fortune China Top 500, and China ESG Impact List Honored as the Best Practices in International Energy Cooperation by the National Energy Administration Ranked on the 2024 ""Global Top 500 New Energy Enterprises"" list Ranked on the Fortune ""China's Top 50 Technology Companies"" list Ranked on Harvard Business Review ""2024 China New Growth · Technology Leadership List"" Ranked on the Bloomberg New Energy Finance (BloombergNEF) ""Tier 1 Energy Storge Manufacturer"" list ESG Recognitions and Honors Global accumulated shipments of modules Accumulated patents granted Sales network coverage Nearly countries and regions 200 2,993 R&D investment RMB billion 4.407 Total R&D personnel 1,981 Coverage rate of anti-commercial bribery and anti-corruption training % 100 CDP Climate Change Score Listed in S&P Global Sustainability Yearbook 2025 B EcoVadis Sustainability Rating Silver MSCI ESG Rating BBB Selected as a leading practice case in the renewable energy value chain by the World Economic Forum Selected for ""2024 Forbes China Brand Value Series"" list Selected as a Forbes China Leading Brand in Global Expansion Awarded the RETC PV Module Index Report ""Overall Highest Achiever"" Awarded six ""Top Brand PV"" titles by EUPD Research Ranked first in the photovoltaic industry on the ""Top 500 Private Enterprises Contributors of Invention Patents"" Ranked on ""China Top 500 Private Enterprises"" list Approved as one of the ""First batch of leading enterprises in the construction of a national quality power in China"" 300+ GW 35.82 19.94",yes,Business–Society/Community,International Energy Cooperation by the National Energy Administration Ranked on the,B) Government subsidy / incentive-supported,ii) subsidies/incentives,"2024, 256.9087, 112,782.37, 7.9878, 19.93",yes,GHG emissions; emissions intensity; training hours; customer satisfaction; anti-corruption training,national,Jinko Solar 2024.pdf,6,High,6,"energy, scenario, carbon, climate, green, emissions",CN062-I001;CN030-I001;CN036-I002;CN065-I007;CN005-I006,"Highlighted Performance Released and optimized sustainability and ESG-related pr... || 07 08 Annual ESG Highlights Category Chapter Annual Highlights Relevant SDGs ... || ESG Sustainable Development Value Management Achievements ESG Sustainable Value ... || 1 Climate Change Response and Carbon Neutrality 2 Energy Management 3 Natural Re... || Baidu 2024 Environmental, Social and Governance (ESG) Report Corporate Governanc..."
CN044-I002,CN044,Jinko Solar,E,renewable_energy,2024 ESG Audit Overview of Key Suppliers Audit Form On-site third-party audits O...,"2024 ESG Audit Overview of Key Suppliers Audit Form On-site third-party audits Online audits Audit Target On-site audits were conducted for 44 suppliers in high risk Online audits were conducted for 69 medium risk suppliers Audit Result Among 44 suppliers, 93% of suppliers had no serious issues Among 69 suppliers, no supplier had a material ESG negative impact Supplier Risk Management Jinko Solar has formulated the Supplier ESG Risk Management Regulations and built a comprehensive supplier risk management system with reference to international standards such as ISO 14001, ISO 45001, ISO 50001, as well as the International Labour Organization Convention, United Nations Framework Convention on Climate Change, and Kyoto Protocol.",yes,Business–Government,International Labour Organization Convention,A) Government mandate / compliance-driven,i) regulation/government policy,"2024, 44, 69, 44, 93",yes,not stated,not stated,Jinko Solar 2024.pdf,26,High,0,"suppliers, supplier, code, business partners, partners, business",CN003-I005;CN048-I005;CN044-I003;CN064-I007;CN068-I001,"Empower suppliers and improve supplier governance capabilities • During the fina... || As the first enterprise in our industry to obtain ISO 20400 certification for Su... || During the reporting period, based on local laws, the UN Guiding Principles on B... || Supplier RFI Survey Supplier Certification Audit Agreement Signing Supplier CSR ... || 100% compliance with internal and external business ethics audit requirements 89..."
CN044-I003,CN044,Jinko Solar,S,labor_rights,"During the reporting period, based on local laws, the UN Guiding Principles on B...","During the reporting period, based on local laws, the UN Guiding Principles on Business and Human Rights (UNGPs), International Labour Organization (ILO) Guidelines, and industry best practices, the Company engaged a professional third-party institution to conduct on-site ESG audits for 44 suppliers, and organized online audits of 69 suppliers to dynamically understand the detailed information about supplier risks.",yes,Business–NGO/Nonprofit,International Labour Organization; UN Guiding Principles on Business and Human Rights,A) Government mandate / compliance-driven,i) regulation/government policy,"44, 69",yes,not stated,not stated,Jinko Solar 2024.pdf,26,High,8,"management, compliance, government, business, security, ethics",CN070-I005;CN044-I002;CN068-I001;CN072-I002;CN003-I005,"Based on the RBA Code of Conduct and the Joint Audit Cooperation (JAC) Supply Ch... || 2024 ESG Audit Overview of Key Suppliers Audit Form On-site third-party audits O... || 100% compliance with internal and external business ethics audit requirements 89... || Adhering to legal compliance and international standards, we have established a ... || Empower suppliers and improve supplier governance capabilities • During the fina..."
CN044-I004,CN044,Jinko Solar,G,stakeholder_engagement,"During the reporting period, in accordance with the requirements of the internat...","During the reporting period, in accordance with the requirements of the international disclosure standards, the Ministry of Finance of the People's Republic of China and the Shanghai Stock Exchange for double materiality management and disclosure of sustainability issues, the Company conducted double materiality analysis.",yes,Business–Government,Ministry of Finance of the People,A) Government mandate / compliance-driven,i) regulation/government policy,Not stated / Not found,no,not stated,multiple,Jinko Solar 2024.pdf,8,High,13,"sustainability, 2024, company, stock exchange, materiality, government",CN068-I003;CN024-I006;CN012-I005;CN053-I005;CN063-I003,14 of Shanghai Stock Exchange for Self-Regulation of Listed Companies—Sustainabi... || Double Materiality Based on the compliance requirements of various regulatory au... || Sustainability Report 2024 32 / 321 (III) Sustainability Issues Materiality Asse... || 14 of Shanghai Stock Exchange for Self-Regulation of Listed Companies - Sustaina... || Reporting Principle The information contained in this report is disclosed in acc...
CN044-I005,CN044,Jinko Solar,E,renewable_energy,"• In 2024, CMRT surveys were conducted for all suppliers involving 3TG materials...","• In 2024, CMRT surveys were conducted for all suppliers involving 3TG materials in photovoltaic sector, with results showing no mineral sources from conflict-affected or high-risk areas.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,2024,yes,not stated,not stated,Jinko Solar 2024.pdf,9,Medium,6,"energy, scenario, carbon, climate, green, emissions",CN043-I005;CN028-I002;CN028-I005;CN066-I005;CN043-I007,"In 2024, the Company conducted annual conflict mineral due diligence using the C... || In May 2024, attended the Macquarie Asia Conference and engaged in in- depth dis... || Sustainable Procurement Guidelines GCL Technology Supply Chain Partner Code of S... || Furthermore, we work together with upstream partners to promote the application ... || 2.1.2 Four Major Strategies Specific Content Conducting Green Production Coopera..."
CN044-I006,CN044,Jinko Solar,E,emissions_reduction,Stakeholder Communication Employees Focus Issues Key Stakeholders Commu- nicatio...,"Stakeholder Communication Employees Focus Issues Key Stakeholders Commu- nication Channels Governmental and Regulatory Authorities Shareholders and Investors Customers and Consumers Community and the Public Industry, Academic, and Rating Agencies Suppliers and Partners Media Focus Issues and Communication Channels for Key Stakeholders • Occupational health and safety • Employees' rights and interests protection • Human capital management • Corporate governance • Business ethics • Intellectual property protection • Environmental compliance management • Climate change mitigation and adaptation • Energy utilization • Water resources utilization • Pollutant emissions • Ecosystem and biodiversity conservation • Corporate governance • Business ethics • Risk management • Stakeholder communication • Innovation-driven • Intellectual property protection • Innovation-driven • Circular economy • Customer relationship management • Product and service safety and quality • Information security and privacy protection • Sustainable supply chain • Climate change mitigation and adaptation • Occupational health and safety • Business ethics • Information security and privacy protection • Ecosystem and biodiversity conservation • Community contribution and engagement • Climate change mitigation and adaptation • Sustainable supply chain • Community contribution and engagement • Environmental compliance management • Climate change mitigation and adaptation • Energy utilization • Water resources utilization • Pollutant emissions • Waste disposal • Ecosystem and biodiversity conservation • Circular economy • Innovation-driven • Intellectual property protection • Sustainable supply chain • Climate change mitigation and adaptation • Employee physical examination • Employee activities • Employees' congress • Employee symposium • Employee intranet • Employee training • Employee feedback platform • Employee engagement surveys • Institutional review • Policy implementation • Information disclosure • Action on climate change • Irregular environmental monitoring • General meeting of shareholders • Financial report • ESG report • Performance report • Roadshow • Survey • Teleconference • Product exhibitions • Reciprocal visits • New product launches • Customer surveys • Technical seminars • Customer satisfaction surveys • Supplier management platform • Supplier training • Supplier audit • Strategic cooperation negotiations • Industry exhibitions and training • Official website • Newsletters • Social media communication • Industry exhibitions • Industry seminars • Activity participation • Questionnaire surveys • Environmental impact assessment for new projects • Shangrao Qingmiao Charity Foundation • Community volunteer activities • Public welfare projects • Academic seminars • Reciprocal visits • Industry exhibitions",yes,Multi-actor (more than 3 categories),Shangrao Qingmiao Charity Foundation,A) Government mandate / compliance-driven,i) regulation/government policy,Not stated / Not found,yes,customer satisfaction,not stated,Jinko Solar 2024.pdf,11,Medium,2,"governance, management, report, social, development, environmental",CN061-I004;CN037-I003;CN036-I001;CN065-I007;CN027-I001,About the Report Chairman's Statement About the Group 02 04 06 100 102 104 107 1... || 1 Climate Change Response Environmental Management Water Resource Utilization Po... || 112 Annex Corporate Governance ESG Governance Stakeholder Engagement Risk Manage... || 1 Climate Change Response and Carbon Neutrality 2 Energy Management 3 Natural Re... || Promoting Circular Growth with Low-Carbon and Green Practices Addressing climate...
CN044-I007,CN044,Jinko Solar,E,renewable_energy,"2024 Environmental, Social and Governance (ESG) Report Optimizing Corporate Gove...","2024 Environmental, Social and Governance (ESG) Report Optimizing Corporate Governance Corporate Governance and Operations Jinko Solar strictly adheres to the laws and regulations related to corporate governance and has established a governance framework centered on the General Meeting of Shareholders, the Board of Directors, the Board of Supervisors, and executive management.",yes,Business–Government,Government,A) Government mandate / compliance-driven,i) regulation/government policy,2024,yes,not stated,not stated,Jinko Solar 2024.pdf,13,Medium,4,"esg, 2024, governance, report, management, corporate",CN011-I006;CN015-I007;CN005-I006;CN002-I008;CN036-I001,"Environmental, Social and Governance Report 2024 13 During the Reporting Period,... || 9 ESG ESG Governance System Board of Directors Governance Strategy and Investmen... || Baidu 2024 Environmental, Social and Governance (ESG) Report Corporate Governanc... || The ESG Sustainable Development Committee 2024 ESG Sustainable Development Manag... || 112 Annex Corporate Governance ESG Governance Stakeholder Engagement Risk Manage..."
CN045-I001,CN045,Kweichow Moutai Co,E,pollution_control,"In 2024, the Company carried out over 100 industry-university-research projects ...","In 2024, the Company carried out over 100 industry-university-research projects in collaboration with top domestic research institutions such as the Institute of Microbiology of the Chinese Academy of Sciences, Dalian Institute of Chemical Physics of the Chinese Academy of Sciences, Institute of Genetics and Developmental Biology of the Chinese Academy of Sciences, Jiangnan University, Wuhan University, and Shanghai Jiao Tong University, focusing on the ""4 dimensions"" research and five major core technology systems in the distilling process, promoting the deep integration of theoretical knowledge and practical application.",yes,Business–Business Partners (industry/supply chain/consortium),Jiangnan University; Shanghai Jiao Tong University; Wuhan University,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"2024, 100, 4",yes,not stated,multiple,Kweichow Moutai Co 2024.pdf,23,High,16,"china, 2024, award, technology, innovation, honor",CN043-I004;CN037-I005;CN031-I003;CN047-I002;CN032-I007,"In 2024, the Company engaged in deep integration of industry and education with ... || Relying on strong partnerships with leading academic institutions such as Zhejia... || In 2024,  Established 2 joint laboratories with universities  Participated in ... || We strengthen the cooperation between industry, academia and research, and estab... || Industry-university-research Cooperation 2024 Selected Industry-Academia-Researc..."
CN045-I002,CN045,Kweichow Moutai Co,E,climate_risk_strategy,14 of the Shanghai Stock Exchange for Self-Regulation of Listed Companies - Sust...,"14 of the Shanghai Stock Exchange for Self-Regulation of Listed Companies - Sustainability Report (Trial) and referring to the climate-related sustainable disclosure standards issued by the International Financial Reporting Criterion 10 (IFRS S2 for short), the Company actively carried out climate change scenario analysis.",yes,Business–Government,International Financial Reporting Criterion,A) Government mandate / compliance-driven,i) regulation/government policy,"14, 10",yes,not stated,Shanghai,Kweichow Moutai Co 2024.pdf,30,High,13,"sustainability, 2024, company, stock exchange, materiality, government",CN053-I005;CN068-I003;CN012-I005;CN063-I003;CN009-I001,14 of Shanghai Stock Exchange for Self-Regulation of Listed Companies - Sustaina... || 14 of Shanghai Stock Exchange for Self-Regulation of Listed Companies—Sustainabi... || Sustainability Report 2024 32 / 321 (III) Sustainability Issues Materiality Asse... || Reporting Principle The information contained in this report is disclosed in acc... || China Construction Bank Corporation 2024 Sustainability Report 21 In accordance ...
CN045-I003,CN045,Kweichow Moutai Co,E,climate_risk_strategy,Scenario Selection Climate Risk Time Frames Temperature Scenario Physical Climat...,"Scenario Selection Climate Risk Time Frames Temperature Scenario Physical Climate Scenario Transitional Climate Scenario Greater than 3°C SSP5-8.5 / 2°C-3°C SSP2-4.5 / Less than 2°C SSP1-2.6 Time Frame Period Short-term 2025-2030 Medium-term 2031-2040 Long-term 2041-2060 9 It is an independent international standard-setting organization, established by the International Financial Reporting Standards Foundation, and officially launched on November 3, 2021, at the 26th United Nations Climate Change Conference.",yes,Business–NGO/Nonprofit,International Financial Reporting Standards Foundation,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,"3, 8.5, 2, 3, 4.5",yes,not stated,not stated,Kweichow Moutai Co 2024.pdf,30,High,6,"energy, scenario, carbon, climate, green, emissions",CN013-I007;CN008-I002;CN073-I008;CN049-I002;CN066-I002," Transition risks  Climate scenario selection During the Reporting Period, the... || Drawing upon the Fifth and Sixth Assessment Reports of the United Nations Interg... || Risk Analysis Climate Scenario Analysis for Transition Risks: ZTE has conducted ... || Conduct at least one annual discussion on climate change related issues to devel... || Strategy To identify and evaluate the impacts of climate-related risks and oppor..."
CN045-I004,CN045,Kweichow Moutai Co,S,community_development,"Donation Activity Case Case Since 2021, Moutai has established the ""Han Jiang · ...","Donation Activity Case Case Since 2021, Moutai has established the ""Han Jiang · Dedicated Heritage"" Special Public Welfare Fund in partnership with the ""China Foundation For Cultural Heritage Conservation"".",yes,Multi-actor (more than 3 categories),China Foundation,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,2021,yes,not stated,national,Kweichow Moutai Co 2024.pdf,64,High,18,"foundation, 2024, 2021, collaboration, foundation vii, ecological",CN028-I003;CN021-I003;CN017-I002;CN003-I004;CN054-I007,"In 2024, we made donations worth tens of thousands of yuan to biodiversity-theme... || We conducted ​targeted benevolent donation activities in the Luolong region of T... || Public welfare activities and community engagement 400,000 155 700 140 CNY More ... || One China sports development project In collaboration with the China Sports Foun... || PICC P&C's case was awarded the ""Innovation Achievement Award."" Additionally, 2 ..."
CN045-I005,CN045,Kweichow Moutai Co,G,compliance_anti_corruption,30 29 About the Report Message from the Chairman Sustainable Development Symbiot...,"30 29 About the Report Message from the Chairman Sustainable Development Symbiotic Coexistence: Coexisting Harmoniously with Nature Sharing Benefits: Sharing Value with Society Mutual Success: Enabling Modern Governance within the Organization Future Outlook Appendix About Kweichow Moutai 2024 Environmental, Social and Governance Report Case Compliance Management In strict accordance with laws, regulations, and regulatory requirements, the Company has established a sound compliance system.",yes,Business–Government,Government,A) Government mandate / compliance-driven,i) regulation/government policy,"30, 29, 2024",yes,not stated,not stated,Kweichow Moutai Co 2024.pdf,16,Medium,2,"governance, management, report, social, development, environmental",CN024-I001;CN036-I003;CN061-I004;CN008-I007;CN024-I002,"2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the ... || 2024 Environmental, Social and Governance Report Compliance and Stability: The F... || About the Report Chairman's Statement About the Group 02 04 06 100 102 104 107 1... || 16.Occupational health 17.Employees’ rights and benefits 18.Equity and diversity... || 2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the ..."
CN045-I006,CN045,Kweichow Moutai Co,S,training_education,"The training included 105 participants, comprising employees, distributors, supp...","The training included 105 participants, comprising employees, distributors, suppliers, and third-party partners.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,105,yes,not stated,not stated,Kweichow Moutai Co 2024.pdf,19,Medium,7,"training, program, university, staff, employees, remuneration",CN042-I007;CN053-I003;CN029-I003;CN058-I005;CN037-I006,"Additionally, six internal training sessions and one empowerment session involvi... || Joint Training Program for Outstanding Engineers with Southeast University In No... || During the year, GDS then launched a campaign for suppliers to sign up to the Co... || Evaluated 1,422 key suppliers, conducted on-site audits of over 1,392 suppliers,... || Supplier management Responsible Supply Chain The number of suppliers reached Reg..."
CN045-I007,CN045,Kweichow Moutai Co,G,compliance_anti_corruption,"6, to standardize the business ethical behavior for all employees, partners and ...","6, to standardize the business ethical behavior for all employees, partners and other related parties, and oppose any form of corruption, bribery, money laundering, monopoly, insider trading, conflict of interest, and unfair competition.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,6,yes,not stated,not stated,Kweichow Moutai Co 2024.pdf,19,Medium,8,"management, compliance, government, business, security, ethics",CN005-I007;CN013-I004;CN005-I003;CN051-I007;CN005-I004,"2024 Baidu Business Ethics Promotion Week: Through a range of online and offlin... || 27 ENVIRONMENT, SOCIAL AND GOVERNANCE REPORT 2024 Compliance training With a foc... || Baidu 2024 Environmental, Social and Governance (ESG) Report Corporate Governanc... || Anti-Commercial Bribery and Anti-Corruption Policy Anti-Monopoly Compliance Manu... || Business Ethics Governance Framework and Reporting Mechanism Data statistical au..."
CN046-I001,CN046,Lenovo,E,water_management,"In September 2023, Lenovo joined the UN Global Compact Forward Faster initiative...","In September 2023, Lenovo joined the UN Global Compact Forward Faster initiative to accelerate private sector action towards the SDGs, specifically committing to the climate action and water resilience targets within the initiative.",yes,Business–NGO/Nonprofit,UN Global Compact Forward Faster initiative to accelerate privat,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,2023,yes,not stated,not stated,Lenovo 2024.pdf,22,High,3,"global, global compact, compact, 2024, united nations, nations",CN026-I005;CN027-I002;CN046-I007;CN046-I006;CN046-I002,"145 146 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024 ENVIRONMENTAL, SOCIAL A... || In 2024, Fii officially joined the United Nations Global Compact (UNGC), further... || 53 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report Exec... || 45 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report Exec... || The Company has: • Implemented and maintains a corporate Water Resiliency Policy..."
CN046-I002,CN046,Lenovo,E,water_management,The Company has: • Implemented and maintains a corporate Water Resiliency Policy...,"The Company has: • Implemented and maintains a corporate Water Resiliency Policy; • Endorsed the UN CEO Water Mandate; • Joined the SBTN Corporate Engagement Program, pledging alignment with Science Based Targets Network’s (SBTN) goals and vision and contributing advice and end-user insights to the development of SBTN methods and tools as an SBTN Corporate Engagement Participant; and • Joined UN Global Compact Forward Faster initiative to accelerate private sector action towards the SDGs, specifically committing to the water resilience target within the initiative.",yes,Business–NGO/Nonprofit,UN CEO Water Mandate; UN Global Compact Forward Faster initiative to accelerate privat,A) Government mandate / compliance-driven,i) regulation/government policy,Not stated / Not found,no,not stated,not stated,Lenovo 2024.pdf,28,High,3,"global, global compact, compact, 2024, united nations, nations",CN065-I004;CN046-I001;CN026-I005;CN024-I001;CN037-I003,"Many scientists supported by the New Cornerstone Science Foundation align their ... || In September 2023, Lenovo joined the UN Global Compact Forward Faster initiative... || 145 146 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024 ENVIRONMENTAL, SOCIAL A... || 2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the ... || 1 Climate Change Response Environmental Management Water Resource Utilization Po..."
CN046-I003,CN046,Lenovo,Cross-cutting,innovation_green_tech,"Our customers and partners are recognizing our efforts, as Lenovo was honored wi...","Our customers and partners are recognizing our efforts, as Lenovo was honored with the Canalys Sustainability Champion Award in 2023.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,2023,yes,not stated,not stated,Lenovo 2024.pdf,9,Medium,12,"partners, university, business, business partners, industry, 2024",CN046-I007;CN046-I006;CN046-I001;CN049-I005;CN046-I004,"53 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report Exec... || 45 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report Exec... || In September 2023, Lenovo joined the UN Global Compact Forward Faster initiative... || 2024 SUSTAINABILITY REPORT Committed to Advancing Cutting-Edge Technology, Fulfi... || In 2022, the Company announced a strategic partnership with PCCW Limited to form..."
CN046-I004,CN046,Lenovo,Cross-cutting,partnerships_general,"In 2022, the Company announced a strategic partnership with PCCW Limited to form...","In 2022, the Company announced a strategic partnership with PCCW Limited to form a technology solutions powerhouse, leveraging the combined strengths of both companies.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,2022,yes,not stated,not stated,Lenovo 2024.pdf,13,Medium,12,"partners, university, business, business partners, industry, 2024",CN062-I006;CN032-I006;CN060-I005;CN059-I006;CN073-I006,"In 2024, we achieved deep collaboration with our supplier partners across multip... || The Company has established comprehensive, long-term partnerships with more than... || Together with our global partners, we will accelerate the energy transition and ... || (4) These projects are held by Shenshi Smart Logistics Infrastructure Private E... || 105 Upholding Win-Win Collaboration to Grow with Partners ........................."
CN046-I005,CN046,Lenovo,Cross-cutting,innovation_green_tech,The Company actively manages its response to ongoing energy-related regulatory a...,"The Company actively manages its response to ongoing energy-related regulatory activities such as updates to emerging protocols and regulations, and industry-related standards, including: • ENERGY STAR® program specifications • US Department of Energy (DOE) Appliance and Equipment Standards • California Appliance Efficiency Program requirements • China Energy Label (CEL) and China Energy Conservation Program (CECP) Standards • EU Ecodesign (ErP) requirements In 2020, ENERGY STAR® implemented a new Computer Specification version 8.0 covering desktop and all-in-one (AIO) PC products.",yes,Multi-actor (more than 3 categories),Government; NGO; Business Partners,A) Government mandate / compliance-driven,i) regulation/government policy,"2020, 8.0",yes,not stated,national,Lenovo 2024.pdf,34,Medium,6,"energy, scenario, carbon, climate, green, emissions",CN001-I004;CN053-I005;CN032-I002;CN006-I007;CN030-I001,We worked with China Association for Standardization and China Environmental Uni... || 14 of Shanghai Stock Exchange for Self-Regulation of Listed Companies - Sustaina... || Gree Electric Co-hosts Technical Exchange Conference within the Industry Gree El... || • Copper industry: In the Credit Policy of Bank of China Limited for Copper Indu... || 07 08 Annual ESG Highlights Category Chapter Annual Highlights Relevant SDGs ...
CN046-I006,CN046,Lenovo,S,employee_health_safety,"45 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report Exec...","45 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report Executive letters About this report Environmental Social Governance Global supply chain Consolidated metrics EMS performance, objectives and targets Long-term KPI progress Appendix Health and safety The Company’s manufacturing business model combines joint-venture (JV) partnerships, company-owned manufacturing, and original design manufacturer (ODM) capacity.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,"45, 2023, 24",yes,not stated,not stated,Lenovo 2024.pdf,47,Medium,2,"governance, management, report, social, development, environmental",CN046-I007;CN036-I001;CN007-I004;CN061-I004;CN061-I006,"53 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report Exec... || 112 Annex Corporate Governance ESG Governance Stakeholder Engagement Risk Manage... || 18 2024 BYD Sustainability Report GOVERNANCE INTEGRITY AND CREDIBILITY FOR BUSIN... || About the Report Chairman's Statement About the Group 02 04 06 100 102 104 107 1... || Corporate Governance HKEX Disclosure Platform Website http://www.hkexnews.hk WWW..."
CN046-I007,CN046,Lenovo,G,transparency_reporting,"53 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report Exec...","53 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report Executive letters About this report Environmental Social Governance Global supply chain Consolidated metrics EMS performance, objectives and targets Long-term KPI progress Appendix D&I recognitions Creating a diverse talent pipeline ATTRACT DEVELOP RETAIN The Company’s Talent Acquisition (TA) team has established goals to ensure a diverse slate of executive candidates is presented to hiring managers.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,"53, 2023, 24",yes,not stated,not stated,Lenovo 2024.pdf,55,Medium,2,"governance, management, report, social, development, environmental",CN046-I006;CN007-I004;CN036-I001;CN061-I004;CN008-I007,"45 Lenovo Group Limited 2023/24 Environmental, Social and Governance Report Exec... || 18 2024 BYD Sustainability Report GOVERNANCE INTEGRITY AND CREDIBILITY FOR BUSIN... || 112 Annex Corporate Governance ESG Governance Stakeholder Engagement Risk Manage... || About the Report Chairman's Statement About the Group 02 04 06 100 102 104 107 1... || 16.Occupational health 17.Employees’ rights and benefits 18.Equity and diversity..."
CN047-I001,CN047,LINGYI iTECH (GUANGDONG) COMPANY,G,supply_chain_governance,"65 ""Research and Practice of China's Science and Technology Innovation Evaluatio...","65 ""Research and Practice of China's Science and Technology Innovation Evaluation System"" Released at the ""2024 Sci-Tech Innovation Leaders Exchange Confer- ence,"" with LINGYI iTECH Featured as an Outstanding Case Study The 4th Guangdong Province Quality Innovation and Quality Improvement Achievements Presentation Competition Successfully Held in Guangzhou, LINGYI iTECH's Team Wins 4 First Prizes in the Six Sigma Theme Competition The 2nd National Mobile Application Innovation Competition Supply Chain Group Successfully Held at Zhejiang University, LINGYI iTECH's IT Team Wins 'Best Innovative Proposal Award' with ""Everything Repairable"" Project In 2024 Intellectual Property In order to strengthen the declaration, management, implementation and protection of the Company’s intellectual property rights, regulate intellectual property rights, encourage the enthusiasm of employees to invent and create, and promote the popularisation and application of VFLHQWLŀFDQGWHFKQRORJLFDODFKLHYHPHQWVZHLQVLVWRQWKHWZRSURQJHGDSSURDFKRILQWHOOHFWXDOSURSHUW\ULJKWVUHVHDUFKDQGGHYHORSPHQWDQG protection.",yes,Business–Business Partners (industry/supply chain/consortium),Innovation Competition Supply Chain Group Successfully Held at Zhejiang University,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"65, 2024, 4, 2024",yes,not stated,multiple,LINGYI iTECH (GUANGDONG) COMPANY 2024.pdf,66,High,16,"china, 2024, award, technology, innovation, honor",CN059-I001;CN047-I006;CN062-I002;CN047-I005;CN031-I003,"Signed the Strategic Cooperation Agreement with the Research Institute of Tsingh... || Guangdong Association for Quality Guangdong Association for Quality Guangdong As... || Annual honors and awards Fortune China 2024 Fortune China ESG Impact List China ... || 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 LINGYI iTECH LINGYI iTECH ... || In 2024,  Established 2 joint laboratories with universities  Participated in ..."
